solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_15_5,tv_S,443949.771422767,8007528.27576979,0.0485104663414876,87038.3508235847,0.0279834041879191,8007528.27576979,0.0485104663414876,87038.3508235847,0.0279834041879191,TRUE,0.311135800761756,0.346064158312313,0,0.0605158631160735,0.126930843543221,0.929773178009291,321074.323819979,5,15,1,1,89,1,10247935.1,256198.3775,0.311135800761756,0.346064158312313,0.27468641833817,0.781379682602575,1.2797875632871,70374.2146995255,0.46589068119647
1_15_6,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,competitor_sales_B,0.151561649915246,74184102.3633814,0.449453060080252,806348.938732407,0.254943385731331,74184102.3633814,0.449453060080252,806348.938732407,0.254943385731331,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,events,0.932483799580132,1139272.72087155,0.00690241701858796,1139272.72087155,0.360203915177134,1139272.72087155,0.00690241701858796,1139272.72087155,0.360203915177134,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,facebook_I,0,0,0,0,0,0,0,0,0,TRUE,0.181827675117088,0,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,5988890.41190929,136111.145725211,0.181827675117088,0,0,0,Inf,0,0
1_15_6,holiday,1.03421447244197,4685192.13020107,0.0283857844591543,292824.508137567,0.09258233990741,4685192.13020107,0.0283857844591543,292824.508137567,0.09258233990741,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,newsletter,308072.779992579,7635805.86778882,0.0462624228658254,82997.8898672698,0.0262414471389786,7635805.86778882,0.0462624228658254,82997.8898672698,0.0262414471389786,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,ooh_S,251632.317389347,2744360.59534461,0.016627029622861,29830.006471137,0.00943135469130067,2744360.59534461,0.016627029622861,29830.006471137,0.00943135469130067,TRUE,0.310911157955088,0.184200107988209,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,10240536,262577.846153846,0.310911157955088,0.184200107988209,0.20359648703455,0.267989936790868,3.73148339812615,53459.9270500217,0.252573395810032
1_15_6,print_S,329597.948131546,3820222.0087454,0.0231452618191158,41524.1522689717,0.0131286933740086,3820222.0087454,0.0231452618191158,41524.1522689717,0.0131286933740086,TRUE,0.0848043521333921,0.256411386952403,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,2793216,77589.3333333333,0.0848043521333921,0.256411386952403,1.33557581674523,1.36767869321434,0.731165883450141,103626.437237385,1.19454329187283
1_15_6,search_clicks_P,110984.129530359,3425894.8269589,0.0207561844712682,37237.9872495533,0.0117735363577775,3425894.8269589,0.0207561844712682,37237.9872495533,0.0117735363577775,TRUE,0.111321014032676,0.229944344104254,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,3666600,47618.1818181818,0.111321014032676,0.229944344104254,0.975515781112742,0.934351941024083,1.07026052613961,46452.2878315322,0.835396028443938
